Id_hecho,Victimas,Fecha,Hora,Tipo_calle,Cruce,Direccion,Comuna,Longitud,Latitud,Tipo_victima,Tipo_acusado,Rol,Sexo,Edad,Fecha_fallecimiento
2016-0001,1,2016-01-01,4,avenida,"Fernandez de la cruz, f., gral. av.","Piedra buena av. y fernandez de la cruz, f., gral. av.",8,-58.47533969,-34.68757022,moto,auto,conductor,masculino,19.0,2016-01-01
2016-0002,1,2016-01-02,1,gral paz,De los corrales av.,"Paz, gral. av. y de los corrales av.",9,-58.50877521,-34.66977709,auto,pasajeros,conductor,masculino,70.0,2016-01-02
2016-0003,1,2016-01-03,7,avenida,,Entre rios av. 2034,1,-58.39040293,-34.63189362,moto,auto,conductor,masculino,30.0,2016-01-03
2016-0004,1,2016-01-10,0,avenida,"Villegas, conrado, gral.","Larrazabal av. y villegas, conrado, gral.",8,-58.46503904,-34.68092974,moto,,conductor,masculino,18.0,
2016-0005,1,2016-01-21,5,avenida,"Saenz pe?a, luis, pres.","San juan av. y saenz peã‘a, luis, pres.",1,-58.38718297,-34.6224663,moto,pasajeros,conductor,masculino,29.0,2016-02-01
2016-0008,1,2016-01-24,18,avenida,Escalada av.,27 de febrero av. y escalada av.,8,-58.44451316,-34.68475866,moto,objeto fijo,conductor,masculino,30.0,2016-01-24
2016-0009,1,2016-01-24,19,calle,"Gonzalez, joaquin v.","Nogoya y gonzalez, joaquin v.",11,-58.50095869,-34.6082544,moto,auto,pasajero_acompañante,masculino,29.0,2016-01-26
2016-0010,1,2016-01-29,15,gral paz,De los corrales av.,"Paz, gral. av. y de los corrales av.",9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,18.0,2016-01-29
2016-0012,1,2016-02-08,1,avenida,"Irigoyen, bernardo de","Belgrano av. e irigoyen, bernardo de",1,-58.38048577,-34.61303893,moto,cargas,conductor,masculino,22.0,2016-02-08
2016-0013,1,2016-02-10,11,avenida,,Entre rios av. 1366,1,-58.39114932,-34.62477387,peaton,auto,peaton,masculino,16.0,2016-02-10
2016-0015,1,2016-02-14,5,avenida,Vera,"Scalabrini ortiz, raul av. y vera",15,-58.4376002,-34.59912758,peaton,auto,peaton,femenino,16.0,2016-02-14
2016-0016,1,2016-02-14,22,avenida,"Quinquela martin, benito","Regimiento de patricios av. y quinquela martin, benito",4,-58.36882665,-34.64291993,moto,auto,pasajero_acompañante,femenino,19.0,2016-02-14
2016-0017,1,2016-02-15,16,avenida,"Janer, ana maria","Acosta, mariano y janer, ana maria",8,-58.44989671,-34.65970435,peaton,moto,peaton,masculino,59.0,2016-02-16
