Id_hecho,Fecha,Rol,Victima,Sexo,Edad,Fecha_fallecimiento
2016-0001,2016-01-01,conductor,moto,masculino,19.0,2016-01-01
2016-0002,2016-01-02,conductor,auto,masculino,70.0,2016-01-02
2016-0003,2016-01-03,conductor,moto,masculino,30.0,2016-01-03
2016-0004,2016-01-10,conductor,moto,masculino,18.0,
2016-0005,2016-01-21,conductor,moto,masculino,29.0,2016-02-01
2016-0008,2016-01-24,conductor,moto,masculino,30.0,2016-01-24
2016-0009,2016-01-24,pasajero_acompañante,moto,masculino,29.0,2016-01-26
2016-0010,2016-01-29,conductor,moto,masculino,18.0,2016-01-29
2016-0012,2016-02-08,conductor,moto,masculino,22.0,2016-02-08
2016-0013,2016-02-10,peaton,peaton,masculino,16.0,2016-02-10
2016-0015,2016-02-14,peaton,peaton,femenino,16.0,2016-02-14
2016-0016,2016-02-14,pasajero_acompañante,moto,femenino,19.0,2016-02-14
2016-0017,2016-02-15,peaton,peaton,masculino,59.0,2016-02-16
2016-0019,2016-02-17,peaton,peaton,femenino,65.0,2016-02-17
2016-0020,2016-02-17,peaton,peaton,masculino,59.0,2016-03-02
2016-0021,2016-02-17,conductor,auto,masculino,34.0,2016-02-17
2016-0022,2016-02-21,pasajero_acompañante,moto,masculino,41.0,
2016-0025,2016-02-28,pasajero_acompañante,auto,masculino,34.0,2016-02-28
2016-0026,2016-02-28,conductor,auto,masculino,30.0,2016-03-04
2016-0027,2016-02-28,pasajero_acompañante,auto,masculino,34.0,
2016-0028,2016-03-02,peaton,peaton,masculino,50.0,2016-03-02
2016-0029,2016-03-04,peaton,peaton,masculino,38.0,2016-03-04
2016-0031,2016-03-08,conductor,moto,masculino,21.0,
2016-0034,2016-03-12,peaton,peaton,masculino,52.0,2016-03-12
2016-0035,2016-03-13,conductor,moto,masculino,34.0,2016-03-13
2016-0036,2016-03-14,pasajero_acompañante,moto,masculino,36.0,2016-03-14
2016-0037,2016-03-19,conductor,moto,masculino,20.0,2016-03-19
2016-0038,2016-03-21,peaton,peaton,masculino,29.0,2016-03-21
2016-0039,2016-03-23,conductor,moto,masculino,20.0,2016-03-23
2016-0041,2016-03-29,conductor,moto,masculino,54.0,2016-03-29
2016-0041,2016-03-29,pasajero_acompañante,moto,masculino,,2016-03-30
2016-0043,2016-03-30,peaton,peaton,femenino,56.0,2016-03-30
2016-0044,2016-03-31,conductor,moto,masculino,24.0,2016-03-31
2016-0045,2016-04-11,conductor,moto,masculino,,
2016-0047,2016-04-15,peaton,peaton,masculino,41.0,2016-04-15
2016-0048,2016-04-15,peaton,peaton,femenino,,
2016-0049,2016-04-17,,,,,
2016-0050,2016-04-19,peaton,peaton,masculino,78.0,2016-04-19
2016-0051,2016-04-20,conductor,moto,masculino,36.0,2016-04-20
2016-0052,2016-04-20,,moto,,,
2016-0053,2016-04-22,peaton,peaton,masculino,38.0,2016-04-22
2016-0054,2016-04-23,conductor,moto,masculino,30.0,2016-04-25
2016-0055,2016-04-25,peaton,peaton,masculino,79.0,2016-04-28
2016-0056,2016-04-26,conductor,moto,masculino,26.0,2016-04-26
2016-0058,2016-05-04,peaton,peaton,femenino,57.0,2016-05-08
2016-0059,2016-05-08,peaton,peaton,masculino,37.0,2016-05-26
2016-0064,2016-05-14,peaton,peaton,masculino,20.0,
2016-0065,2016-05-20,peaton,peaton,masculino,20.0,2016-05-20
2016-0067,2016-05-21,pasajero_acompañante,moto,femenino,30.0,
2016-0068,2016-05-22,conductor,moto,masculino,58.0,
2016-0069,2016-05-23,conductor,auto,masculino,30.0,2016-05-23
2016-0073,2016-06-11,conductor,moto,masculino,23.0,
2016-0074,2016-06-12,conductor,auto,masculino,60.0,
2016-0075,2016-06-12,peaton,peaton,masculino,42.0,2016-06-12
2016-0076,2016-06-13,peaton,peaton,femenino,53.0,2016-06-13
2016-0077,2016-06-13,peaton,peaton,femenino,,
2016-0078,2016-06-13,conductor,moto,masculino,30.0,
2016-0079,2016-06-16,conductor,auto,femenino,51.0,
2016-0080,2016-06-18,conductor,auto,masculino,60.0,
2016-0081,2016-06-22,conductor,moto,masculino,40.0,
2016-0082,2016-06-27,peaton,peaton,masculino,87.0,2016-07-05
2016-0083,2016-06-28,peaton,peaton,femenino,76.0,2016-06-29
2016-0084,2016-06-29,peaton,peaton,masculino,57.0,2016-07-08
2016-0085,2016-06-29,,moto,masculino,,
2016-0086,2016-06-30,peaton,peaton,masculino,75.0,2016-07-01
2016-0087,2016-07-03,conductor,moto,masculino,23.0,2016-07-03
2016-0088,2016-07-11,peaton,peaton,femenino,70.0,2016-07-14
2016-0089,2016-07-14,peaton,peaton,masculino,35.0,2016-07-14
2016-0090,2016-07-14,peaton,peaton,masculino,60.0,2016-07-15
2016-0092,2016-07-15,conductor,moto,masculino,24.0,2016-07-15
2016-0093,2016-07-17,conductor,auto,masculino,35.0,2016-07-19
2016-0095,2016-07-23,conductor,moto,masculino,29.0,2016-07-23
2016-0096,2016-07-25,conductor,moto,masculino,,
2016-0097,2016-07-26,peaton,peaton,masculino,80.0,2016-08-12
2016-0098,2016-07-27,conductor,moto,femenino,43.0,
2016-0099,2016-07-29,conductor,cargas,masculino,45.0,
2016-0100,2016-08-03,conductor,moto,masculino,57.0,2016-08-03
2016-0101,2016-08-07,,,masculino,67.0,
2016-0102,2016-08-10,conductor,moto,masculino,29.0,
2016-0104,2016-08-14,conductor,moto,masculino,21.0,2016-08-15
2016-0105,2016-08-17,peaton,peaton,masculino,19.0,2016-08-26
2016-0106,2016-08-19,peaton,peaton,masculino,38.0,
2016-0107,2016-08-20,conductor,moto,masculino,21.0,
2016-0109,2016-08-24,conductor,auto,femenino,53.0,2016-08-24
2016-0110,2016-08-24,peaton,peaton,masculino,57.0,
2016-0111,2016-08-25,conductor,moto,masculino,27.0,2016-08-25
2016-0112,2016-08-27,conductor,moto,masculino,24.0,2016-08-27
2016-0113,2016-08-27,peaton,peaton,femenino,60.0,
2016-0114,2016-08-31,ciclista,bicicleta,femenino,55.0,2016-08-31
2016-0115,2016-09-02,,,masculino,,
2016-0116,2016-09-02,conductor,moto,masculino,30.0,2016-09-02
2016-0117,2016-09-03,conductor,auto,masculino,43.0,
2016-0118,2016-09-04,conductor,auto,masculino,27.0,2016-09-04
2016-0119,2016-09-04,pasajero_acompañante,,femenino,,
2016-0122,2016-09-13,ciclista,bicicleta,masculino,49.0,2016-09-13
2016-0123,2016-09-14,conductor,moto,femenino,58.0,
2016-0124,2016-09-16,peaton,peaton,masculino,67.0,
2016-0125,2016-09-17,conductor,moto,masculino,30.0,
2016-0126,2016-09-18,conductor,auto,masculino,37.0,
2016-0126,2016-09-18,pasajero_acompañante,auto,masculino,60.0,
2016-0127,2016-09-24,peaton,peaton,masculino,50.0,
2016-0128,2016-10-02,peaton,peaton,femenino,81.0,2016-10-02
2016-0130,2016-10-04,conductor,moto,masculino,29.0,2016-10-04
2016-0131,2016-10-09,peaton,peaton,masculino,35.0,
2016-0132,2016-10-10,pasajero_acompañante,auto,masculino,30.0,2016-10-10
2016-0133,2016-10-14,conductor,moto,masculino,41.0,2016-10-25
2016-0134,2016-10-23,conductor,moto,masculino,25.0,2016-10-23
2016-0135,2016-10-24,peaton,peaton,masculino,29.0,2016-10-25
2016-0136,2016-10-25,conductor,moto,,,
2016-0137,2016-10-25,conductor,moto,masculino,30.0,
2016-0138,2016-10-27,ciclista,bicicleta,femenino,33.0,
2016-0139,2016-10-28,pasajero_acompañante,moto,femenino,35.0,
2016-0140,2016-10-31,pasajero_acompañante,pasajeros,masculino,20.0,
2016-0142,2016-11-05,conductor,moto,masculino,46.0,2016-11-05
2016-0143,2016-11-06,conductor,moto,masculino,35.0,
2016-0144,2016-11-07,peaton,peaton,masculino,83.0,
2016-0145,2016-11-07,conductor,moto,masculino,39.0,2016-11-07
2016-0146,2016-11-09,peaton,peaton,femenino,29.0,
2016-0147,2016-11-16,pasajero_acompañante,movil,masculino,55.0,2016-11-16
2016-0148,2016-11-16,conductor,moto,masculino,,
2016-0150,2016-11-18,pasajero_acompañante,cargas,masculino,41.0,2016-11-18
2016-0151,2016-11-18,peaton,peaton,,,
2016-0152,2016-11-23,conductor,moto,masculino,42.0,2016-11-24
2016-0153,2016-11-25,peaton,peaton,femenino,83.0,2016-11-25
2016-0154,2016-11-26,conductor,moto,masculino,38.0,
2016-0155,2016-11-26,peaton,peaton,femenino,29.0,
2016-0156,2016-11-26,conductor,moto,masculino,23.0,2016-11-30
2016-0157,2016-12-03,conductor,moto,masculino,23.0,
2016-0159,2016-12-04,conductor,auto,masculino,23.0,
2016-0160,2016-12-06,conductor,cargas,masculino,29.0,2016-12-06
2016-0161,2016-12-06,peaton,peaton,masculino,50.0,2016-12-06
2016-0162,2016-12-07,peaton,peaton,masculino,38.0,2017-01-01
2016-0163,2016-12-10,conductor,moto,masculino,23.0,
2016-0164,2016-12-11,conductor,auto,masculino,29.0,
2016-0165,2016-12-12,ciclista,bicicleta,masculino,37.0,
2016-0168,2016-12-13,conductor,moto,masculino,43.0,2016-12-13
2016-0169,2016-12-15,conductor,moto,masculino,24.0,2016-12-16
2016-0170,2016-12-19,pasajero_acompañante,moto,masculino,21.0,2016-12-19
2016-0171,2016-12-25,conductor,moto,,,
2016-0172,2016-12-26,conductor,moto,masculino,38.0,2016-12-26
2016-0173,2016-12-26,conductor,moto,masculino,35.0,
2016-0174,2016-12-27,,,,,
2016-0175,2016-12-27,peaton,peaton,femenino,,
2016-0176,2016-12-28,conductor,moto,masculino,28.0,
2016-0177,2016-12-29,peaton,peaton,femenino,27.0,
2016-0178,2016-12-30,peaton,peaton,femenino,7.0,
2017-0001,2017-01-02,conductor,moto,masculino,18.0,2017-01-02
2017-0003,2017-01-05,pasajero_acompañante,cargas,masculino,33.0,2017-01-05
2017-0007,2017-01-11,peaton,peaton,masculino,48.0,2017-01-11
2017-0008,2017-01-16,conductor,moto,masculino,29.0,2017-01-16
2017-0009,2017-01-16,conductor,moto,masculino,36.0,2017-01-16
2017-0010,2017-01-16,conductor,moto,masculino,23.0,2017-01-16
2017-0011,2017-01-22,pasajero_acompañante,moto,femenino,29.0,2017-01-22
2017-0012,2017-01-24,conductor,moto,masculino,30.0,2017-01-24
2017-0013,2017-01-27,peaton,peaton,masculino,4.0,2017-01-27
2017-0014,2017-01-28,pasajero_acompañante,moto,femenino,22.0,2017-01-28
2017-0015,2017-02-02,peaton,peaton,masculino,82.0,2017-02-21
2017-0016,2017-02-03,conductor,moto,masculino,27.0,2017-02-04
2017-0017,2017-02-06,conductor,moto,masculino,32.0,2017-02-06
2017-0018,2017-02-09,conductor,moto,masculino,30.0,2017-02-09
2017-0021,2017-02-18,conductor,moto,masculino,43.0,2017-02-18
2017-0024,2017-02-23,peaton,peaton,masculino,39.0,2017-02-23
2017-0025,2017-02-24,conductor,moto,masculino,23.0,2017-02-24
2017-0026,2017-02-26,pasajero_acompañante,auto,femenino,23.0,2017-02-26
2017-0026,2017-02-26,conductor,auto,masculino,19.0,2017-02-26
2017-0027,2017-02-26,peaton,peaton,masculino,,2017-02-26
2017-0028,2017-02-28,peaton,peaton,masculino,87.0,2017-02-28
2017-0029,2017-03-07,,,masculino,34.0,2017-03-07
2017-0030,2017-03-07,conductor,auto,femenino,27.0,2017-03-07
2017-0031,2017-03-11,pasajero_acompañante,auto,masculino,70.0,2017-03-11
2017-0032,2017-03-12,pasajero_acompañante,auto,femenino,40.0,2017-03-12
2017-0033,2017-03-12,conductor,auto,masculino,28.0,2017-03-12
2017-0034,2017-03-13,peaton,peaton,masculino,43.0,2017-03-13
2017-0035,2017-03-23,conductor,auto,masculino,28.0,2017-03-23
2017-0035,2017-03-23,pasajero_acompañante,auto,masculino,32.0,2017-03-23
2017-0035,2017-03-23,pasajero_acompañante,auto,masculino,30.0,2017-03-23
2017-0036,2017-03-29,pasajero_acompañante,moto,femenino,,2017-03-29
2017-0036,2017-03-29,conductor,moto,masculino,20.0,2017-03-29
2017-0037,2017-03-31,conductor,moto,masculino,41.0,2017-03-31
2017-0038,2017-04-01,conductor,moto,femenino,40.0,2017-04-01
2017-0040,2017-04-03,conductor,auto,masculino,43.0,2017-04-03
2017-0041,2017-04-03,conductor,moto,masculino,17.0,
2017-0042,2017-04-10,conductor,moto,masculino,,2017-04-10
2017-0045,2017-04-14,conductor,moto,masculino,21.0,2017-04-14
2017-0047,2017-04-23,conductor,moto,masculino,37.0,2017-04-23
2017-0049,2017-04-27,peaton,peaton,masculino,22.0,2017-04-27
2017-0050,2017-04-28,conductor,moto,masculino,46.0,2017-04-28
2017-0050,2017-04-28,pasajero_acompañante,moto,masculino,16.0,2017-04-28
2017-0051,2017-05-01,conductor,auto,masculino,33.0,2017-05-01
2017-0052,2017-05-05,peaton,peaton,femenino,47.0,2017-05-05
2017-0053,2017-05-05,conductor,moto,masculino,28.0,2017-05-05
2017-0054,2017-05-07,pasajero_acompañante,moto,femenino,20.0,2017-05-07
2017-0055,2017-05-09,conductor,auto,masculino,32.0,2017-05-09
2017-0058,2017-05-09,peaton,peaton,masculino,80.0,2017-05-09
2017-0059,2017-05-11,peaton,peaton,femenino,39.0,2017-05-11
2017-0060,2017-05-13,pasajero_acompañante,moto,masculino,30.0,2017-05-13
2017-0061,2017-05-15,peaton,peaton,masculino,47.0,2017-05-16
2017-0062,2017-05-15,conductor,moto,masculino,35.0,2017-05-15
2017-0063,2017-05-17,peaton,peaton,femenino,79.0,2017-05-17
2017-0064,2017-05-20,pasajero_acompañante,cargas,masculino,61.0,2017-05-20
2017-0065,2017-05-22,ciclista,bicicleta,masculino,21.0,2017-05-22
2017-0066,2017-05-22,peaton,peaton,masculino,10.0,2017-05-22
2017-0067,2017-05-23,conductor,moto,masculino,21.0,2017-05-23
2017-0068,2017-05-27,conductor,moto,masculino,32.0,2017-05-27
2017-0069,2017-05-29,conductor,moto,masculino,39.0,2017-05-29
2017-0070,2017-05-30,peaton,peaton,masculino,80.0,2017-05-31
2017-0072,2017-06-03,conductor,auto,masculino,25.0,2017-06-03
2017-0073,2017-06-04,conductor,moto,masculino,19.0,2017-06-04
2017-0074,2017-06-04,,,masculino,70.0,2017-06-04
2017-0075,2017-06-12,peaton,peaton,masculino,55.0,2017-06-12
2017-0076,2017-06-13,peaton,peaton,femenino,30.0,2017-06-13
2017-0077,2017-06-17,conductor,moto,femenino,60.0,2017-06-18
2017-0079,2017-06-19,conductor,moto,masculino,33.0,2017-06-19
2017-0080,2017-06-22,peaton,peaton,femenino,95.0,2017-06-22
2017-0082,2017-06-25,peaton,peaton,masculino,36.0,2017-06-25
2017-0083,2017-07-04,conductor,moto,masculino,37.0,2017-07-04
2017-0084,2017-07-05,peaton,peaton,femenino,73.0,2017-07-05
2017-0085,2017-07-07,peaton,peaton,masculino,84.0,2017-07-07
2017-0086,2017-07-09,peaton,peaton,femenino,30.0,2017-07-09
2017-0087,2017-07-10,peaton,peaton,femenino,73.0,2017-07-10
2017-0088,2017-07-10,peaton,peaton,masculino,43.0,2017-07-10
2017-0089,2017-07-13,,,masculino,23.0,
2017-0090,2017-07-15,peaton,peaton,masculino,22.0,2017-07-15
2017-0091,2017-07-15,conductor,moto,masculino,58.0,2017-07-15
2017-0092,2017-07-24,peaton,peaton,masculino,66.0,2017-07-24
2017-0093,2017-07-25,peaton,peaton,masculino,,2017-07-25
2017-0094,2017-07-27,ciclista,bicicleta,femenino,56.0,2017-07-27
2017-0095,2017-08-06,conductor,moto,masculino,36.0,2017-08-06
2017-0096,2017-08-07,peaton,peaton,masculino,87.0,2017-08-07
2017-0098,2017-08-08,peaton,peaton,femenino,61.0,2017-08-08
2017-0099,2017-08-17,ciclista,bicicleta,masculino,28.0,2017-08-17
2017-0100,2017-08-21,pasajero_acompañante,moto,femenino,16.0,2017-08-21
2017-0101,2017-08-23,peaton,peaton,femenino,61.0,2017-08-23
2017-0102,2017-08-24,peaton,peaton,masculino,46.0,2017-08-24
2017-0104,2017-08-25,peaton,peaton,femenino,18.0,2017-08-25
2017-0106,2017-08-31,peaton,peaton,femenino,85.0,2017-08-31
2017-0107,2017-09-01,conductor,moto,masculino,41.0,2017-09-01
2017-0108,2017-09-02,pasajero_acompañante,auto,masculino,17.0,2017-09-02
2017-0108,2017-09-02,pasajero_acompañante,auto,masculino,10.0,2017-09-02
2017-0109,2017-09-04,conductor,moto,masculino,21.0,2017-09-05
2017-0110,2017-09-06,peaton,peaton,masculino,56.0,2017-09-07
2017-0111,2017-09-07,peaton,peaton,femenino,79.0,2017-09-07
2017-0112,2017-09-10,pasajero_acompañante,auto,masculino,1.0,
2017-0112,2017-09-10,pasajero_acompañante,auto,masculino,,2017-09-13
2017-0113,2017-09-11,peaton,peaton,femenino,76.0,2017-09-11
2017-0114,2017-09-15,conductor,auto,masculino,26.0,2017-09-15
2017-0115,2017-09-19,conductor,moto,masculino,34.0,
2017-0116,2017-09-20,conductor,moto,masculino,22.0,2017-09-20
2017-0118,2017-09-22,pasajero_acompañante,moto,femenino,26.0,2017-09-29
2017-0120,2017-10-02,conductor,moto,masculino,20.0,2017-10-02
2017-0123,2017-10-10,peaton,peaton,femenino,36.0,2017-10-10
2017-0124,2017-10-12,conductor,moto,masculino,51.0,2017-10-12
2017-0125,2017-10-13,conductor,moto,masculino,29.0,2017-10-13
2017-0126,2017-10-14,pasajero_acompañante,auto,masculino,39.0,
2017-0126,2017-10-14,conductor,auto,masculino,36.0,2017-10-14
2017-0127,2017-10-16,pasajero_acompañante,moto,masculino,24.0,2017-10-16
2017-0128,2017-10-17,peaton,peaton,femenino,60.0,2017-10-17
2017-0129,2017-10-26,conductor,moto,masculino,57.0,2017-10-26
2017-0130,2017-10-27,conductor,auto,masculino,23.0,2017-10-27
2017-0132,2017-10-30,conductor,moto,masculino,23.0,2017-10-30
2017-0134,2017-11-06,peaton,peaton,femenino,47.0,2017-11-06
2017-0135,2017-11-07,conductor,moto,masculino,24.0,2017-11-07
2017-0136,2017-11-16,peaton,peaton,masculino,55.0,2017-11-16
2017-0137,2017-11-17,peaton,peaton,femenino,60.0,2017-11-17
2017-0138,2017-11-19,pasajero_acompañante,moto,masculino,25.0,2017-11-19
2017-0139,2017-11-19,pasajero_acompañante,auto,femenino,15.0,2017-11-19
2017-0140,2017-11-19,conductor,moto,masculino,24.0,2017-11-19
2017-0141,2017-11-23,peaton,peaton,femenino,22.0,2017-11-23
2017-0143,2017-11-25,conductor,auto,masculino,50.0,2017-11-25
2017-0144,2017-11-26,pasajero_acompañante,auto,femenino,50.0,2017-11-26
2017-0145,2017-11-26,conductor,moto,masculino,58.0,2017-11-26
2017-0147,2017-11-28,conductor,moto,masculino,49.0,2017-11-28
2017-0148,2017-11-29,peaton,peaton,femenino,82.0,2017-11-29
2017-0149,2017-11-30,peaton,peaton,masculino,13.0,2017-11-30
2017-0150,2017-12-04,peaton,peaton,masculino,56.0,2017-12-04
2017-0151,2017-12-04,peaton,peaton,masculino,,2017-12-04
2017-0152,2017-12-06,ciclista,bicicleta,masculino,19.0,2017-12-06
2017-0153,2017-12-11,pasajero_acompañante,moto,masculino,,2017-12-12
2017-0153,2017-12-11,conductor,moto,masculino,30.0,2017-12-12
2017-0154,2017-12-11,peaton,peaton,masculino,76.0,2017-12-11
2017-0155,2017-12-12,,,masculino,77.0,
2017-0157,2017-12-17,conductor,auto,masculino,53.0,2017-12-17
2017-0158,2017-12-18,conductor,moto,masculino,32.0,2017-12-18
2017-0159,2017-12-20,conductor,moto,masculino,27.0,2017-12-20
2017-0160,2017-12-22,peaton,peaton,femenino,30.0,2017-12-22
